date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,CHINA INDUSTRIAL SECURITIES,CMB INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,TOYO SECURITIES ASIA LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD
2025-04-01,246.710511,107.75399999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-02,246.991011,0.0,0.0,56.752097,57.262351,0.0,0.0,0.0,0.0,0.0
2025-04-03,0.0,0.0,0.0,57.182597,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-07,246.998511,0.0,61.894499999999994,57.272597000000005,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-08,246.994011,0.0,61.907999999999994,57.062597000000004,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-09,245.959011,0.0,62.946000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-10,0.0,0.0,63.0645,57.203596999999995,57.311851000000004,0.0,631.098,0.0,0.0,0.0
2025-04-11,245.95301100000003,0.0,0.0,57.206597,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-14,245.94701099999997,0.0,63.00449999999999,57.203596999999995,57.320851,0.0,0.0,0.0,0.0,0.0
2025-04-15,245.94101099999997,0.0,0.0,0.0,57.326851,0.0,0.0,0.0,0.0,0.0
2025-04-16,245.935011,107.7435,63.0345,0.0,57.343351,0.0,0.0,0.0,0.0,0.0
2025-04-17,245.929011,0.0,0.0,0.0,57.35985099999999,0.0,0.0,0.0,0.0,0.0
