date,ORIENT SECURITIES (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,I WIN SECURITIES LTD,LIVERMORE HOLDINGS LTD,THE HONGKONG AND SHANGHAI BANKING,SINOPAC SECURITIES (ASIA) LTD,HEAD & SHOULDERS SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-09-30,4.410596420651423,2.23904159554034,1.301822723085563,1.533498086507208,0.8495737160531456,0.33509664797557015,0.29945428437224014,0.15308687318151593,0.17821181801665023,0.04353042767947685,11.343912593063134
2024-10-02,4.410596420651423,2.23904159554034,1.301822723085563,1.5329137854645307,0.8221115670473012,0.33363589536887633,0.3055894453203543,0.14578311014804665,0.20099955868107433,0.03330515943261988,11.32579926074013
2024-10-03,4.410596420651423,2.23904159554034,1.3839170195817576,1.5329137854645307,0.8297074806021092,0.33363589536887633,0.2953641770734973,0.14490665858403035,0.19983095659571928,0.03447376151797496,11.40438775098026
2024-10-04,4.410596420651423,2.2381651439763237,1.3701859450788354,1.5329137854645307,0.8203586639192686,0.33363589536887633,0.2953641770734973,0.13409708929449582,0.19895450503170292,0.033889460475297416,11.36816108633425
2024-10-07,4.410596420651423,2.2381651439763237,1.3701859450788354,1.5329137854645307,0.8004924284682321,0.33363589536887633,0.2953641770734973,0.13614214294386723,0.19895450503170292,0.03535021308199127,11.35180065713928
2024-10-08,4.410596420651423,2.2381651439763237,1.3701859450788354,1.5399253979766612,0.7999081274255545,0.33363589536887633,0.2953641770734973,0.13789504607189984,0.19866235451036418,0.03126010578324848,11.355598613916683
2024-10-09,4.410596420651423,2.237288692412307,1.3827484174964024,1.533498086507208,0.798155224297522,0.33363589536887633,0.28922901612538315,0.13789504607189984,0.19866235451036418,0.02979935317655463,11.351508506617941
2024-10-10,4.410596420651423,2.237288692412307,1.3912207826152267,1.5332059359858696,0.8039982347242973,0.33217514276218246,0.28922901612538315,0.13672644398654477,0.19924665555304172,0.029507202655215854,11.363194527471492
2024-10-14,4.410596420651423,2.237288692412307,1.3815798154110472,1.5332059359858696,0.7964023211694893,0.33217514276218246,0.28922901612538315,0.13409708929449582,0.19895450503170292,0.028922901612538316,11.34245184045644
2024-10-15,4.410596420651423,2.237288692412307,1.3815798154110472,1.5332059359858696,0.7949415685627955,0.33217514276218246,0.28922901612538315,0.13409708929449582,0.19895450503170292,0.029507202655215854,11.341575388892423
